instance,type,origins,empty
git.seco.com,git,278,
git.softtodo.tn,git,3,
git.softwrestling.org,git,5,
git.sos.ethz.ch,git,6,
git.spip.net,git,1615,
git.startinblox.com,git,217,
git.starxpert.fr,git,2,
git.tardisproject.uk,git,32,
git.taxitronic.com,git,9,
git.thm.de,git,1183,
git.tpi.uni-jena.de,git,53,
git.uclalemur.com,git,74,
git.ucsc.edu,git,474,
git.ufz.de,git,257,
git.uha4point0.fr,git,36,
git.uiowa.edu,git,23,
git.ummisco.fr,git,9,
git.uni-due.de,git,401,
git.uni-jena.de,git,300,
git.uni-wuppertal.de,git,173,
git.unicaen.fr,git,245,
git.unimore.it,git,5,
git.unistra.fr,git,3169,
git.univ-cotedazur.fr,git,7,
git.univ-pau.fr,git,162,
git.uwaterloo.ca,git,3230,
git.vulpecula.fr,git,75,
git.wur.nl,git,924,
git.yaodb-blog.fr,git,1,
git.zs.informatik.uni-kiel.de,git,38,
git2.networks.imdea.org,git,12,
gitbio.ens-lyon.fr,git,98,
gitcrcm.marseille.inserm.fr,git,20,
gite.lirmm.fr,git,970,
gitem.epsem.upc.edu,git,1,
gitext.faps.fau.de,git,1,
gitgud.io,git,9339,
github.tel.uva.es,git,43,
gitinfo.cnam.fr,git,49,
gitioc.upc.edu,git,187,
gitlab-dynamap.timone.univ-amu.fr,git,10,
gitlab-ext.iosb.fraunhofer.de,git,64,
gitlab-extern.ivi.fraunhofer.de,git,15,
gitlab-fil.univ-lille.fr,git,222,
gitlab-forge.din.developpement-durable.gouv.fr,git,165,
gitlab-forschung.reutlingen-university.de,git,27,
gitlab-lehre.informatik.uni-halle.de,git,39,
gitlab-mi.univ-reims.fr,git,155,
gitlab-mshe.univ-fcomte.fr,git,52,
gitlab-new.bap.jp,git,139,
gitlab-perspicuous-computing-science.mpi-klsb.mpg.de,git,4,
gitlab-preprod.in2p3.fr,git,2226,
gitlab-rdlab.cs.upc.edu,git,9,
gitlab-rech.insa-toulouse.fr,git,12,
gitlab-research.centralesupelec.fr,git,268,
gitlab-sml.din.developpement-durable.gouv.fr,git,4,
gitlab-student.centralesupelec.fr,git,875,
gitlab-test.compute.dtu.dk,git,21,
gitlab.42paris.fr,git,2,
gitlab.abutech.uz,git,12,
gitlab.act.reading.ac.uk,git,245,
gitlab.adorsaz.ch,git,42,
gitlab.adoy.net,git,6,
gitlab.adullact.net,git,673,
gitlab.aei.uni-hannover.de,git,85,
gitlab.albalogic.fr,git,3,
gitlab.alpinelinux.org,git,1391,
gitlab.amd.e-technik.uni-rostock.de,git,94,
gitlab.aniti.fr,git,2,
gitlab.anu.edu.au,git,116,
gitlab.apertis.org,git,7573,
gitlab.archlinux.org,git,14824,
gitlab.arm.com,git,234,
gitlab.bacula.org,git,4,
gitlab.bbbaden.ch,git,823,
gitlab.bcamath.org,git,28,
gitlab.beilich.de,git,26,
gitlab.bfabric.org,git,34,
gitlab.binets.fr,git,259,
gitlab.bixilon.de,git,79,
gitlab.brokenpipe.de,git,59,
gitlab.bsc.es,git,441,
gitlab.bzed.at,git,133,
gitlab.caltech.edu,git,442,
gitlab.caplaser.fr,git,2,
gitlab.catalyst.net.nz,git,3,
gitlab.cba.mit.edu,git,288,
gitlab.cc-asp.fraunhofer.de,git,721,
gitlab.ccsd.cnrs.fr,git,2,
gitlab.cecs.anu.edu.au,git,412,
gitlab.cecs.pdx.edu,git,279,
gitlab.cemea.org,git,17,
gitlab.cerema.fr,git,36,
gitlab.cern.ch,git,20323,
gitlab.chab.ethz.ch,git,6,
gitlab.chara.gsu.edu,git,3,
gitlab.chise.org,git,33,
gitlab.ciel-kastler.fr,git,141,
gitlab.cirad.fr,git,79,
gitlab.cis.uni-muenchen.de,git,23,
gitlab.citic.udc.es,git,13,
gitlab.cl.uni-heidelberg.de,git,141,
gitlab.climate.unibe.ch,git,7,
gitlab.cloudlab.zhaw.ch,git,11,
gitlab.cluster.ensisa.uha.fr,git,16,
gitlab.cobolworx.com,git,12,
gitlab.codelutin.com,git,148,
gitlab.coko.foundation,git,578,
gitlab.collabora.com,git,1099,
gitlab.college-de-france.fr,git,15,
gitlab.com,git,5371213,
gitlab.common-lisp.net,git,939,
gitlab.constantvzw.org,git,684,
gitlab.crans.org,git,536,
gitlab.cri.epita.fr,git,138,
gitlab.cri.minesparis.psl.eu,git,16,
gitlab.cristal.univ-lille.fr,git,90,
gitlab.cs.duke.edu,git,57,
gitlab.cs.ksu.edu,git,70,
gitlab.cs.mcgill.ca,git,105,
gitlab.cs.olemiss.edu,git,13,
gitlab.cs.uni-duesseldorf.de,git,102,
gitlab.cs.uni-saarland.de,git,149,
gitlab.cse.iitb.ac.in,git,501,
gitlab.csl.uni-bremen.de,git,23,
gitlab.csn.tu-chemnitz.de,git,1,
gitlab.cwp.govt.nz,git,56,
gitlab.darkmat.fr,git,31,
gitlab.data-ensta.fr,git,180,
gitlab.datachamp.fr,git,27,
gitlab.datasud.fr,git,6,
gitlab.dawan.fr,git,4,
gitlab.deep-nope.me,git,50,
gitlab.dei.unipd.it,git,64,
gitlab.denx.de,git,79,
gitlab.deokonai.fr,git,9,
gitlab.depp.education.fr,git,2,
gitlab.depp.it,git,38,
gitlab.developers.cam.ac.uk,git,954,
gitlab.di.ens.fr,git,4,
gitlab.di.unimi.it,git,196,
gitlab.di.unipmn.it,git,101,
gitlab.digilol.net,git,7,
gitlab.digitalcourage.de,git,47,
gitlab.distantaccess.com,git,29,
gitlab.divioseo.fr,git,1,
gitlab.diz.uni-marburg.de,git,4,
gitlab.dkrz.de,git,262,
gitlab.domainepublic.net,git,188,
gitlab.dpt-info.univ-littoral.fr,git,86,
gitlab.dragonflyaerospace.com,git,10,
gitlab.dsi.universite-paris-saclay.fr,git,3207,
gitlab.dune-project.org,git,588,
gitlab.e.foundation,git,533,
gitlab.ebi.ac.uk,git,458,
gitlab.ebrains.eu,git,201,
gitlab.ec-lyon.fr,git,1138,
gitlab.ecedi.fr,git,11,
gitlab.echothree.com,git,25,
gitlab.eclipse.org,git,2123,
gitlab.ecole.ensicaen.fr,git,4,
gitlab.eecs.wsu.edu,git,299,
gitlab.eientei.org,git,60,
gitlab.eif.urjc.es,git,4124,
gitlab.elaine.uni-rostock.de,git,7,
gitlab.emi.u-bordeaux.fr,git,128,
gitlab.emse.fr,git,493,
gitlab.encs.vancouver.wsu.edu,git,181,
gitlab.eng.unimelb.edu.au,git,194,
gitlab.engr.illinois.edu,git,1296,
gitlab.enpc.fr,git,39,
gitlab.enssat.fr,git,139,
gitlab.ensta-bretagne.fr,git,227,
gitlab.ensta.fr,git,189,
gitlab.envt.fr,git,11,
gitlab.epfl.ch,git,777,
gitlab.eqipe.ch,git,22,
gitlab.erc-atmo.eu,git,12,
gitlab.esiea.fr,git,1464,
gitlab.esrf.fr,git,761,
gitlab.esss.lu.se,git,4215,
gitlab.ethz.ch,git,2107,
gitlab.etu.imt-nord-europe.fr,git,11,
gitlab.etude.cy-tech.fr,git,366,
gitlab.eurecom.fr,git,1127,
gitlab.exherbo.org,git,1234,
gitlab.extra.irsn.fr,git,15,
gitlab.fel.cvut.cz,git,2812,
gitlab.fhnw.ch,git,1189,
gitlab.fi.muni.cz,git,976,
gitlab.fim.uni-passau.de,git,88,
gitlab.finki.ukim.mk,git,168,
gitlab.fit.cvut.cz,git,2165,
gitlab.fit.fraunhofer.de,git,47,
gitlab.fjfi.cvut.cz,git,123,
gitlab.flux.utah.edu,git,784,
gitlab.fokus.fraunhofer.de,git,136,
gitlab.forge.gouv.qc.ca,git,3,
gitlab.forge.hefr.ch,git,661,
gitlab.freedesktop.org,git,14727,
gitlab.fresnel.fr,git,20,
gitlab.fsinf.at,git,1,
gitlab.fusiondirectory.org,git,51,
gitlab.fuss.bz.it,git,44,
gitlab.futo.org,git,57,
gitlab.gad-bioinfo.org,git,12,
gitlab.galaxy.ibpc.fr,git,10,
gitlab.galileo.usg.edu,git,36,
gitlab.gast.it.uc3m.es,git,133,
gitlab.gbar.dtu.dk,git,852,
gitlab.geekinfo.fr,git,1,
gitlab.geo3bcn.csic.es,git,26,
gitlab.gflclan.com,git,92,
gitlab.ginfo.centrale-marseille.fr,git,8,
gitlab.gnome.org,git,22675,
gitlab.gnugen.ch,git,110,
gitlab.grnet.gr,git,158,
gitlab.gwdg.de,git,3071,
gitlab.has-sante.fr,git,21,
gitlab.haskell.org,git,1223,
gitlab.hhi.fraunhofer.de,git,29,
gitlab.hrz.tu-chemnitz.de,git,449,
gitlab.huc.knaw.nl,git,15,
gitlab.huma-num.fr,git,922,
gitlab.humanbrainproject.org,git,2,
gitlab.ia.utwente.nl,git,8,
gitlab.ics.muni.cz,git,621,
gitlab.idiap.ch,git,357,
gitlab.iessanclemente.net,git,12,
gitlab.ifca.es,git,154,
gitlab.ifi.lmu.de,git,18,
gitlab.ifi.uzh.ch,git,84,
gitlab.ifremer.fr,git,278,
gitlab.igg.uni-bonn.de,git,29,
gitlab.iiep.unesco.org,git,11,
gitlab.iiia.csic.es,git,55,
gitlab.ikw.uni-osnabrueck.de,git,17,
gitlab.imag.fr,git,3,
gitlab.imo.universite-paris-saclay.fr,git,13,
gitlab.imt-atlantique.fr,git,472,
gitlab.incom.co,git,563,
gitlab.inf.ethz.ch,git,43,
gitlab.inf.telecom-sudparis.eu,git,37,
gitlab.inf.unibe.ch,git,58,
gitlab.inf.unibz.it,git,621,
gitlab.informatik.hu-berlin.de,git,301,
gitlab.informatik.uni-bremen.de,git,477,
gitlab.informatik.uni-halle.de,git,292,
gitlab.informatik.uni-osnabrueck.de,git,27,
gitlab.infosun.fim.uni-passau.de,git,13,
gitlab.ingeniarius.pt,git,15,
gitlab.inha.fr,git,35,
gitlab.inria.fr,git,6489,
gitlab.insa-rennes.fr,git,383,
gitlab.insa-rouen.fr,git,384,
gitlab.institut-agro-dijon.fr,git,1,
gitlab.iqrf.org,git,68,
gitlab.iri.upc.edu,git,321,
gitlab.irit.fr,git,139,
gitlab.irstea.fr,git,328,
gitlab.isae-supaero.fr,git,149,
gitlab.isc.org,git,128,
gitlab.iscpif.fr,git,198,
gitlab.isima.fr,git,1236,
gitlab.it.mcgill.ca,git,4,
gitlab.iti.uni-luebeck.de,git,16,
gitlab.ito.umt.edu,git,11,
gitlab.iut-blagnac.fr,git,26,
gitlab.k-net.fr,git,2,
gitlab.kafein-studio.fr,git,3,
gitlab.kaisens.fr,git,36,
gitlab.kernl.fr,git,3,
gitlab.kit.edu,git,677,
gitlab.kitware.com,git,5182,
gitlab.kwant-project.org,git,317,
gitlab.laas.fr,git,765,
gitlab.labos.polytechnique.fr,git,97,
gitlab.lam.fr,git,57,
gitlab.lava.polymtl.ca,git,52,
gitlab.lcsb.uni.lu,git,533,
gitlab.leinen.ch,git,4,
gitlab.lib.utah.edu,git,1,
gitlab.libresilicon.com,git,15,
gitlab.limos.fr,git,68,
gitlab.linphone.org,git,157,
gitlab.linux.community,git,102,
gitlab.lip6.fr,git,159,
gitlab.liparad.uvsq.fr,git,3,
gitlab.liris.cnrs.fr,git,173,
gitlab.lis-lab.fr,git,166,
gitlab.lisn.upsaclay.fr,git,123,
gitlab.lms.tf.fau.de,git,20,
gitlab.lrz.de,git,554,
gitlab.macg.io,git,5,
gitlab.maisondelasimulation.fr,git,22,
gitlab.manjaro.org,git,3425,
gitlab.marceldev.fr,git,14,
gitlab.math.ethz.ch,git,31,
gitlab.math.unistra.fr,git,69,
gitlab.math.univ-paris-diderot.fr,git,75,
gitlab.maths.lu.se,git,31,
gitlab.matrix.org,git,14,
gitlab.mbb.cnrs.fr,git,149,
gitlab.meca.polymtl.ca,git,16,
gitlab.met.fu-berlin.de,git,26,
gitlab.metager.de,git,45,
gitlab.mim-libre.fr,git,481,
gitlab.mines-albi.fr,git,104,
gitlab.mipn.fr,git,121,
gitlab.mis.mpg.de,git,35,
gitlab.mjus.gba.gob.ar,git,4,
gitlab.mobilites-m.fr,git,14,
gitlab.mpcdf.mpg.de,git,1224,
gitlab.mpi-klsb.mpg.de,git,71,
gitlab.mpi-magdeburg.mpg.de,git,55,
gitlab.mpi-sws.org,git,403,
gitlab.mpim-bonn.mpg.de,git,1,
gitlab.mpip-mainz.mpg.de,git,3,
gitlab.msu.edu,git,1097,
gitlab.multiscale.utah.edu,git,20,
gitlab.mwsc.fr,git,1,
gitlab.nccr-automation.ch,git,28,
gitlab.netcom.it.uc3m.es,git,25,
gitlab.nic.cz,git,538,
gitlab.nomagic.uk,git,28,
gitlab.normandie-univ.fr,git,3,
gitlab.nuiton.org,git,148,
gitlab.obspm.fr,git,267,
gitlab.oca.eu,git,95,
gitlab.oit.duke.edu,git,3478,
gitlab.onelab.info,git,28,
gitlab.opencode.de,git,896,
gitlab.opengeosys.org,git,145,
gitlab.openretailing.org,git,4,
gitlab.orc.gmu.edu,git,22,
gitlab.orfeo-toolbox.org,git,101,
gitlab.osupytheas.fr,git,79,
gitlab.osureunion.fr,git,21,
gitlab.ow2.org,git,1700,
gitlab.ows.fr,git,12,
gitlab.paca.inrae.fr,git,35,
gitlab.pam-retd.fr,git,13,
gitlab.pasteur.fr,git,717,
gitlab.pedago.ensiie.fr,git,126,
gitlab.phaidra.org,git,139,
gitlab.phys.ethz.ch,git,96,
gitlab.physics.unitn.it,git,15,
gitlab.physik.lmu.de,git,187,
gitlab.pik-potsdam.de,git,157,
gitlab.pinteam.eu,git,3,
gitlab.pixelswap.fr,git,13,
gitlab.pks.mpg.de,git,22,
gitlab.pmcs2i.ec-lyon.fr,git,5,
gitlab.pod.cvut.cz,git,2,
gitlab.priv.socib.es,git,1,
gitlab.projekt.uni-hannover.de,git,2,
gitlab.psi.ch,git,351,
gitlab.pyicu.org,git,4,
gitlab.raptorengineering.com,git,240,
gitlab.ras.byu.edu,git,12,
gitlab.rc.umass.edu,git,32,
gitlab.rd.nic.fr,git,44,
gitlab.redox-os.org,git,1603,
gitlab.reutlingen-university.de,git,234,
gitlab.riscosopen.org,git,1190,
gitlab.rm.ingv.it,git,52,
gitlab.rob.uni-luebeck.de,git,29,
gitlab.roc.cnam.fr,git,30,
gitlab.roessner-net.de,git,20,
gitlab.rpbs.univ-paris-diderot.fr,git,22,
gitlab.rrz.uni-hamburg.de,git,247,
gitlab.rrze.fau.de,git,88,
gitlab.rz.uni-bamberg.de,git,115,
gitlab.savoirfairelinux.com,git,19,
gitlab.sb-roscoff.fr,git,52,
gitlab.scai.fraunhofer.de,git,38,
gitlab.science.mcgill.ca,git,12,
gitlab.science.ru.nl,git,686,
gitlab.scss.tcd.ie,git,506,
gitlab.sdv.fr,git,2,
gitlab.se.ifmo.ru,git,5155,
gitlab.sealedair.io,git,12,
gitlab.seismo.ethz.ch,git,57,
gitlab.shaohang.xin,git,2,
gitlab.shinice.net,git,8,
gitlab.sib.swiss,git,105,
gitlab.sidnlabs.nl,git,7,
gitlab.siilicloud.com,git,16,
gitlab.snt.utwente.nl,git,47,
gitlab.socs.uoguelph.ca,git,95,
gitlab.socsci.ru.nl,git,131,
gitlab.software.imdea.org,git,31,
gitlab.softwareheritage.org,git,510,
gitlab.soraharu.com,git,61,
gitlab.sorbonne-paris-nord.fr,git,172,
gitlab.spline.de,git,253,
gitlab.spseplzen.cz,git,342,
gitlab.sron.nl,git,8,
gitlab.ssemi.cz,git,100,
gitlab.stce.rwth-aachen.de,git,23,
gitlab.steamos.cloud,git,20,
gitlab.stud.idi.ntnu.no,git,2580,
gitlab.stums.techfak.fau.de,git,8,
gitlab.summer-ospp.ac.cn,git,1076,
gitlab.surrey.ac.uk,git,624,
gitlab.switch.ch,git,345,
gitlab.synchrotron-soleil.fr,git,248,
gitlab.t4d.ch,git,3,
gitlab.tails.boum.org,git,134,
gitlab.tekniker.es,git,48,
gitlab.telecom-paris.fr,git,113,
gitlab.telecomnancy.univ-lorraine.fr,git,901,
gitlab.tetras-libre.fr,git,131,
gitlab.thesourcecoders.de,git,4,
gitlab.tic-ac.org,git,14,
gitlab.torproject.org,git,1946,
gitlab.tp.nt.uni-siegen.de,git,8,
gitlab.tpic.com.au,git,5,
gitlab.traverse.com.au,git,18,
gitlab.trisquel.org,git,166,
gitlab.tt-rss.org,git,104,
gitlab.tudelft.nl,git,473,
gitlab.tuebingen.mpg.de,git,78,
gitlab.ub.uni-bielefeld.de,git,575,
gitlab.ub.uni-giessen.de,git,63,
gitlab.ucc.asn.au,git,50,
gitlab.ulb.tu-darmstadt.de,git,33,
gitlab.unamur.be,git,51,
gitlab.uncompleted.org,git,6,
gitlab.une.edu.au,git,187,
gitlab.uni-bayreuth.de,git,5,
gitlab.uni-hannover.de,git,296,
gitlab.uni-kassel.de,git,36,
gitlab.uni-marburg.de,git,245,
gitlab.uni-oldenburg.de,git,98,
gitlab.uni-osnabrueck.de,git,17,
gitlab.uni-trier.de,git,6,
gitlab.uni-weimar.de,git,19,
gitlab.uni.lu,git,183,
gitlab.unige.ch,git,825,
gitlab.unimelb.edu.au,git,313,
gitlab.univ-artois.fr,git,2,
gitlab.univ-eiffel.fr,git,28,
gitlab.univ-lille.fr,git,2242,
gitlab.univ-lorraine.fr,git,610,
gitlab.univ-lr.fr,git,349,
gitlab.univ-nantes.fr,git,3564,
gitlab.univ-rouen.fr,git,30,
gitlab.univ-st-etienne.fr,git,98,
gitlab.upt.ro,git,570,
gitlab.urbiloglabs.fr,git,1,
gitlab.usegalaxy.org.au,git,1,
gitlab.uspdigital.usp.br,git,909,
gitlab.utc.fr,git,1505,
gitlab.utwente.nl,git,1563,
gitlab.uvm.edu,git,246,
gitlab.uzh.ch,git,493,
gitlab.vci.rwth-aachen.de:9000,git,231,
gitlab.vedecom.fr,git,2,
gitlab.vg-lab.es,git,25,
gitlab.vgiscience.de,git,108,
gitlab.viarezo.fr,git,210,
gitlab.villejuif.fr,git,2,
gitlab.vinci.be,git,123,
gitlab.vpauto.fr,git,2,
gitlab.wifa.uni-leipzig.de,git,2,
gitlab.wikimedia.org,git,2089,
gitlab.windenergy.dtu.dk,git,263,
gitlab.winehq.org,git,648,
gitlab.wm.edu,git,35,
gitlab.worldguard.com.au,git,1,
gitlab.xfce.org,git,243,
gitlab.xiph.org,git,204,
gitlab.xlim.fr,git,58,
gitlab.zapb.de,git,14,
gitlab.zhdk.ch,git,40,
gitlab01.classe.cornell.edu,git,20,
gitlab03.wpi.edu,git,31,
gitlab2.cip.ifi.lmu.de,git,176,
gitlab2.informatik.uni-wuerzburg.de,git,399,
gitlab2.tamucc.edu,git,47,
gitlabcse.unil.ch,git,6,
gitlabev.imtbs-tsp.eu,git,23,
gitlabext.wsl.ch,git,122,
gitlabinfo.iutmontp.univ-montp2.fr,git,491,
gitli.stratum0.org,git,231,
gitn.sigma.fr,git,8,
gitrepos.virvig.eu,git,6,
gittrack.enaco.fr,git,4,
gitub.u-bordeaux.fr,git,200,
gituja.eenet.ee,git,38,
gl.kwarc.info,git,123,
gl.mathhub.info,git,456,
gricad-gitlab.univ-grenoble-alpes.fr,git,2325,
gvipers.imt-nord-europe.fr,git,104,
hartree.chimie.ens.fr,git,1,
iacgit.ethz.ch,git,63,
ifpen-gitlab.appcollaboratif.fr,git,10,
igit.ific.uv.es,git,57,
invent.kde.org,git,14893,
lab.unif.app,git,18,
labs.nereide.fr,git,29,
lily-is.land,git,66,
llrgit.in2p3.fr,git,32,
manouchian.univ-smb.fr,git,7,
mbees.med.uni-augsburg.de,git,7,
mgit.cs.uni-saarland.de,git,12,
mi-git.univ-tlse2.fr,git,288,
microfluidics.utoronto.ca,git,23,
mnemosyne.ithaca.fr,git,26,
mostgitlab.legi.grenoble-inp.fr,git,1,
neemgit.informatik.uni-bremen.de,git,41,
plmlab.math.cnrs.fr,git,1563,
premonition.stanford.edu,git,28,
projects.cispa.saarland,git,46,
projects.sucs.org,git,78,
psd-repo.uchicago.edu,git,18,
pss-gitlab.math.univ-paris-diderot.fr,git,23,
repo.cse.taylor.edu,git,25,
repo.fib.upc.es,git,74,
repository.prace-ri.eu,git,35,
resy-gitlab.inf.uni-bayreuth.de,git,8,
romeogit.univ-reims.fr,git,54,
s3gitlab.paluno.uni-due.de,git,5,
salsa.debian.org,git,72502,
scm.univ-tours.fr,git,23,
sissource.ethz.ch,git,88,
sme.uni-bamberg.de,git,15,
source.denx.de,git,106,
source.mnt.re,git,101,
source.puri.sm,git,2122,
spacegit.unibe.ch,git,27,
spclgitlab.ethz.ch,git,36,
star-rep.inf.usi.ch,git,12,
swen20003.eng.unimelb.edu.au,git,4,
tclgit.epfl.ch,git,8,
tests.ing.unibs.it,git,3,
tig.phys.ens.fr,git,5,
undef.tools,git,18,
unh-pfem-gitlab.ara.inrae.fr,git,12,
vcgit.hhi.fraunhofer.de,git,374,
versio.iuem.eu,git,7,
version.cs.vt.edu,git,57,
voparis-gitlab.obspm.fr,git,98,
winbiz21dev.winbiz.ch,git,5,
www-apps.univ-lehavre.fr,git,564,
www.gitlab.ci.inf.usi.ch,git,7,
gcc.gnu.org,git,3,
geeqie.org,git,3,
git.1wt.eu,git,32,
git.alsa-project.org,git,14,
git.ao2.it,git,89,
git.armaanb.net,git,26,
git.artsoft.org,git,1,
git.aubio.org,git,8,
git.bzatek.net,git,3,
git.candlhat.org,git,10,
git.carlh.net,git,13,
git.catalyst.net.nz,git,151,
git.claws-mail.org,git,7,
git.codelabs.ch,git,56,
git.cworth.org,git,44,
git.dcmtk.org,git,1,
git.deb.at,git,11,
git.decadent.org.uk,git,18,
git.defora.org,git,63,
git.distorted.org.uk,git,138,
git.donarmstrong.com,git,94,
git.dyninst.org,git,10,
git.efficios.com,git,27,
git.einval.com,git,23,
git.eng.unimelb.edu.au,git,6,
git.erp5.org,git,35,
git.etc.gen.nz,git,22,
git.etersoft.ru,git,72,
git.exim.org,git,9,
git.eyrie.org,git,55,
git.ffmpeg.org,git,10,
git.freespeechextremist.com,git,11,
git.gag.com,git,91,
git.ghostscript.com,git,132,
git.gir.st,git,21,
git.goldelico.com,git,30,
git.grml.org,git,25,
git.haproxy.org,git,23,
git.hcoop.net,git,90,
git.icculus.org,git,20,
git.ieval.ro,git,78,
git.infodrom.org,git,34,
git.infradead.org,git,53,
git.ipfire.org,git,205,
git.k1024.org,git,5,
git.kaliko.me,git,6,
git.kiszka.org,git,26,
git.ktnx.net,git,5,
git.libre-soc.org,git,64,
git.liburcu.org,git,16,
git.linux-nfs.org,git,76,
git.lyx.org,git,4,
git.marlam.de,git,25,
git.mdrn.pl,git,34,
git.minix3.org,git,24,
git.moodle.org,git,5,
git.neil.brown.name,git,19,
git.notmuchmail.org,git,1,
git.openssl.org,git,8,
git.openstreetmap.org,git,7,
git.openwrt.org,git,99,
git.postgresql.org,git,74,
git.proxmox.com,git,182,
git.samba.org,git,273,
git.shadowcat.co.uk,git,256,
git.stderr.nl,git,24,
git.tartarus.org,git,47,
git.techno-innov.fr,git,28,
git.ti.com,git,538,
git.tukaani.org,git,6,
git.videolan.org,git,25,
git.xapian.org,git,2,
gitweb.dragonflybsd.org,git,3,
gitweb.hugovil.com,git,14,
gitweb.stoutner.com,git,6,
jxself.org,git,78,
osm.etsi.org,git,28,
pari.math.u-bordeaux.fr,git,7,
sigrok.org,git,14,
sourceware.org,git,68,
thekelleys.org.uk,git,3,
dev.duhaz.fr,git,4,
git-crysp.uwaterloo.ca,git,55,
git.anonymousmessenger.ly,git,25,
git.dahwa.fr,git,18,
git.ewft.org,git,7,
git.giaever.org,git,48,
git.idleman.fr,git,4,
git.in-ulm.de,git,43,
git.loquico.me,git,16,
git.tk.informatik.tu-darmstadt.de,git,53,
gogs.algocloud.cz,git,31,
gogs.am-networks.fr,git,15,
gogs.caricand.fr,git,1,
gogs.elic.ucl.ac.be,git,21,
gogs.univ-littoral.fr,git,87,
notabug.org,git,50,
src.libcode.org,git,6,
www.mllp.upv.es,git,9,
guix.gnu.org,git,10167,
forge.extranet.logilab.fr,git,7,
foss.heptapod.net,git,22,
heptapod.host,git,25,
launchpad,git,117940,
repo1.maven.org,git,12488,
nixpkgs-swh.nixos.org,git,4,
packagist,git,382764,
code.opensuse.org,git,19456,
git.centos.org,git,9249,
pagure.io,git,3924,
src.fedoraproject.org,git,39830,
forge.softwareheritage.org,git,196,
phabricator.kde.org,git,3,
main,git,181864,
a3nm.net,git,49,
git.2f30.org,git,82,
git.acid.vegas,git,45,
git.alexwennerberg.com,git,19,
git.bleu255.com,git,47,
git.codemadness.org,git,48,
git.tronto.net,git,22,
git.vgx.fr,git,16,
www.brianlane.com,git,16,
gitorious,git,120388,
googlecode,git,88273,
osdn,git,6462,
