instance,type,origins,empty
src.cynthia.re,git,5,
tonibot.ddns.net:8890,git,1,
vault24.org,git,15,
www.jears.at,git,8,
www.kylheku.com,git,31,
code-repo.d4science.org,git,667,
code.blicky.net,git,77,
code.chipmunk.land,git,238,
code.garrettmills.dev,git,118,
code.groupe-genes.fr,git,19,
code.lm7.fr,git,11,
code.m3tam3re.com,git,13,
code.mzf.fr,git,11,
code.p1k3.com,git,66,
code.untyped.org,git,2,
codeberg.org,git,48660,
codefirst.iut.uca.fr,git,626,
dev.lovelyhq.com,git,8,
devheroes.codes,git,38,
forge.april.org,git,93,
forge.bitmutex.com,git,10,
forge.cadoles.com,git,156,
forge.chapril.org,git,332,
forge.cloud.silique.fr,git,30,
forge.le-florida.org,git,9,
forge.lefuturiste.fr,git,40,
forge.soutade.fr,git,24,
forge.ti-nuage.fr,git,10,
forge.yaal.coop,git,17,
forge.zarchbox.fr,git,12,
forgejo.linux07.fr,git,5,
forgejo.rezo-rm.fr,git,51,
forger.sitiv.fr,git,46,
git.0x0.st,git,10,
git.0x90.space,git,62,
git.2li.ch,git,76,
git.3naly.xyz,git,10,
git.abbiamoundominio.org,git,120,
git.abonnel.fr,git,23,
git.ad5001.eu,git,38,
git.afpy.org,git,152,
git.aite.xyz,git,17,
git.akselmo.dev,git,9,
git.alarsyo.net,git,16,
git.alex-design.fr,git,2,
git.alexrio.fr,git,1,
git.allella.fr,git,11,
git.almalinux.org,git,3677,
git.alpaga.dev,git,12,
git.ameliorated.info,git,12,
git.antoineperrin.fr,git,1,
git.applefritter.com,git,760,
git.ardour.org,git,4,
git.art-software.fr,git,18,
git.asgard.odbornaskola.cz,git,252,
git.asgardius.company,git,24,
git.ashitaxi.com,git,91,
git.askiiart.net,git,67,
git.asonix.dog,git,119,
git.augendre.info,git,62,
git.autourdeminuit.com,git,14,
git.average.name,git,26,
git.aweirdimagination.net,git,43,
git.bb1.fun,git,8,
git.belanyi.fr,git,29,
git.benburlingham.com,git,7,
git.blakerain.com,git,13,
git.bobc.io,git,19,
git.botox.bz,git,18,
git.calculate-linux.org,git,62,
git.captnemo.in,git,67,
git.catgirl.land,git,8,
git.chenpt.cn,git,6,
git.chiebot.com:10000,git,35,
git.chriswb.dev,git,32,
git.chuso.net,git,6,
git.chylex.com,git,46,
git.cloudsolutions.com.sa,git,1,
git.cohabit.fr,git,66,
git.com.de,git,192,
git.concertos.live,git,116,
git.coolaj86.com,git,186,
git.coom.tech,git,114,
git.corrupt.link,git,32,
git.crc.id.au,git,6,
git.cromer.cl,git,33,
git.cs.tu-dortmund.de,git,73,
git.csclub.uwaterloo.ca,git,68,
git.cubieserver.de,git,20,
git.cuvoodoo.info,git,31,
git.cyberjinh.fr,git,4,
git.dalembert.upmc.fr,git,16,
