id,domain,software,users_count,monthly_active_users
25324,polaroid.absturztau.be,Pixelfed,466,3
73559,denden.world,Mastodon,463,201
57079,oflosky.com,Misskey,463,
28956,mstdn.animexx.de,Mastodon,463,63
1108,gingadon.com,Mastodon,463,34
93370,hollow.raccoon.quest,Misskey,461,
73081,rimworld.gallery,Mbin,461,31
46507,birdon.social,Mastodon,461,24
17924,quietplace.xyz,Misskey,460,77
73923,retrolemmy.com,Lemmy,459,48
17730,a2mi.social,Mastodon,452,100
15910,pony.social,Mastodon,452,77
71838,misskey.kyoupro.com,Misskey,450,
24719,kafeneio.social,Mastodon,448,117
73733,misskey.3dcg.love,Misskey,447,
33637,wisskomm.social,Mastodon,447,202
8891,pleroma.soykaf.com,Pleroma,446,12
151224,misaki-chan.world,Cherrypick,444,
17542,ni.hil.ist,Mastodon,444,106
151583,radforum-duesseldorf.de,NodeBB,443,1
77791,misskey.resonite.love,Misskey,442,
45684,warpday.net,Misskey,442,77
32275,mastodon.cr,Mastodon,442,59
27454,podcasts.social,Mastodon,441,254
85350,fetistodon.com,Mastodon,439,31
74095,awful.systems,Lemmy,439,90
22223,metaskey.net,Misskey,438,18
29937,mastodon.africa,Mastodon,437,75
31262,deacon.social,Mastodon,436,31
17127,social.diva.exchange,Mastodon,435,35
24933,mastodon.ee,Mastodon,434,13
13126,the9thcircle.club,Misskey,434,44
73701,yuri.garden,Misskey,432,
36362,indieapps.space,Mastodon,432,244
74800,dangly.parts,PeerTube,430,4
17180,augsburg.social,Mastodon,429,87
158742,pixelfed.com,Pixelfed,427,319
23059,pixelfed.cafe,Pixelfed,427,33
4274,ura-mstdn.com,Mastodon,427,6
84904,scribe.disroot.org,Lemmy,426,39
72467,suyasuya.love,Misskey,426,
48429,chaosfem.tw,Mastodon,426,171
49652,comelibros.club,Bookwyrm,424,40
83723,streamsource.video,PeerTube,421,10
19129,p1.a9z.dev,Misskey,420,51
19048,videos.shmalls.pw,PeerTube,418,9
17028,friendica.me,Friendica,413,12
16097,social.prepedia.org,Mastodon,413,403
84740,fyberpunk.com,Writefreely,409,1
50938,c7.io,Mastodon,409,119
28383,mobilisons.ch,Mobilizon,408,
15999,art.librepunk.club,Pixelfed,407,2
45919,pushingelectrons.net,Writefreely,406,1
33008,ruhrpott.social,Mastodon,406,49
27946,bayes.club,Mastodon,405,34
19061,puntarella.party,Mastodon,405,96
15822,linernotes.club,Mastodon,405,32
31177,tchafia.be,Mastodon,403,87
32080,podvibes.co,Mastodon,402,45
28214,dair-community.social,Mastodon,401,33
32819,squawk.mytransponder.com,Mastodon,400,26
23371,catcatnya.com,Mastodon,400,109
3397,imastodon.blue,Mastodon,400,20
154076,lgbt.earth,Pixelfed,398,115
23697,chirp.enworld.org,Mastodon,397,33
157441,instapix.org,Pixelfed,396,81
53406,cafe.otter.homes,Misskey,396,
190,mastodon.pirati.cz,Mastodon,396,33
54891,minazukey.uk,Sharkey,395,150
74133,misskirara.net,Misskey,394,
